T=8.8103e+00 ms:Node 1, thread 1: finishing compute time=1.7611e+00 ms
T=8.8103e+00 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=8.8103e+00 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=8.8103e+00 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=8.8103e+00 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=8.8103e+00 ms:Node 1, thread 1: starting compute time=1.7611e+00 ms
T=8.8124e+00 ms:Node 2, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=8.8124e+00 ms:Node 2, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=8.8124e+00 ms:Node 2, thread 2: starting compute time=1.6540e+00 ms
T=8.8125e+00 ms:Node 3, thread 3: starting compute time=1.7430e+00 ms
T=8.8147e+00 ms:Node 0, thread 0: starting compute time=1.0348e+00 ms
T=9.8495e+00 ms:Node 0, thread 0: finishing compute time=1.0348e+00 ms
T=1.0466e+01 ms:Node 2, thread 2: finishing compute time=1.6540e+00 ms
T=1.0556e+01 ms:Node 3, thread 3: finishing compute time=1.7430e+00 ms
T=1.0556e+01 ms:Node 3, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.0556e+01 ms:Node 3, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.0571e+01 ms:Node 1, thread 1: finishing compute time=1.7611e+00 ms
T=1.0571e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.0571e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.0571e+01 ms:Node 1, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.0571e+01 ms:Node 1, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.0571e+01 ms:Node 1, thread 1: starting compute time=1.7611e+00 ms
T=1.0574e+01 ms:Node 2, thread -1: starting compute nflops=0 nintops=9 nbytes=24
T=1.0574e+01 ms:Node 2, thread -1: finishing compute nflops=0 nintops=9 nbytes=24
T=1.0574e+01 ms:Node 2, thread 2: starting compute time=1.6540e+00 ms
T=1.0574e+01 ms:Node 3, thread 3: starting compute time=1.7430e+00 ms
T=1.0576e+01 ms:Node 0, thread 0: starting compute time=1.0348e+00 ms
T=1.1611e+01 ms:Node 0, thread 0: finishing compute time=1.0348e+00 ms
T=1.2228e+01 ms:Node 2, thread 2: finishing compute time=1.6540e+00 ms
T=1.2317e+01 ms:Node 3, thread 3: finishing compute time=1.7430e+00 ms
T=1.2317e+01 ms:Node 3, thread -1: starting compute nflops=0 nintops=9 nbytes=24
